keyword,position,rank_absolute,search_volume,etv,keyword_difficulty,cpc,competition,search_intent,ranking_url,serp_page
sofa and leather,8,12,33100,652.1,0,2.990000009536743,1,transactional,https://www.jensen-lewis.com/collections/american-leather/sofas-sectionals,1
contemporary end tables,3,3,6600,642.2,0,1.8199999332427979,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
ergonomic dining room chair,2,2,3600,583.2,0,1.9100000858306885,1,transactional,https://www.jensen-lewis.com/collections/stressless/dining-chairs,1
contemporary leather recliner,1,3,1900,577.6,0,2.450000047683716,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
contemporary modern dining tables,1,2,1900,577.6,0,2.2899999618530273,1,transactional,https://www.jensen-lewis.com/collections/dining-room-furniture/dining-tables,1
modern contemporary dining table,1,2,1900,577.6,0,2.2899999618530273,1,transactional,https://www.jensen-lewis.com/collections/dining-room-furniture/dining-tables,1
modern recliner,3,7,5400,525.4,0,1.899999976158142,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
furniture stores in ny,5,9,9900,464.3,16,3.5199999809265137,1,commercial,https://www.jensen-lewis.com/,1
furnitures stores in nyc,5,8,9900,464.3,14,3.5199999809265137,1,commercial,https://www.jensen-lewis.com/,1
modern barstools,5,7,9900,464.3,0,3.240000009536743,1,transactional,https://www.jensen-lewis.com/collections/elite-modern/bar-stools,1
nyc furniture showroom,5,8,9900,464.3,17,3.5199999809265137,1,navigational,https://www.jensen-lewis.com/,1
end tables contemporary,4,6,6600,434.9,0,1.8199999332427979,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
oscar living,4,7,6600,434.9,0,,0,navigational,https://www.jensen-lewis.com/products/oscar-chair,1
adjustable bar stool chairs,6,8,12100,409.0,0,2.0199999809265137,1,transactional,https://www.jensen-lewis.com/collections/dining-room-furniture/bar-stools,1
modern barstools swivel,1,2,1300,395.2,0,2.450000047683716,1,transactional,https://www.jensen-lewis.com/collections/dining-room-furniture/bar-stools,1
american leather sofa,2,4,2400,388.8,0,1.9300000667572021,1,transactional,https://www.jensen-lewis.com/collections/american-leather/sofas-sectionals,1
american leather sofas,2,2,2400,388.8,5,1.9300000667572021,1,transactional,https://www.jensen-lewis.com/collections/american-leather/sofas-sectionals,1
cocktail table modern,10,12,33100,374.0,0,1.8700000047683716,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/coffee-tables,1
ergonomic dining chairs,3,4,3600,350.3,0,1.9100000858306885,1,transactional,https://www.jensen-lewis.com/collections/stressless/dining-chairs,1
american leather furniture,2,6,1900,307.8,0,1.3899999856948853,1,transactional,https://www.jensen-lewis.com/collections/american-leather/sofas-sectionals,1
contemporary recliners leather,2,3,1900,307.8,0,2.450000047683716,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
stressless recliner armchair,1,2,1000,304,17,1.809999942779541,1,transactional,https://www.jensen-lewis.com/collections/stressless/recliners,1
table modern,8,11,14800,291.6,0,2.2799999713897705,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
contemporary accent table,1,2,880,267.5,0,1.6700000762939453,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
new york city furniture stores,7,10,9900,253.4,14,3.5199999809265137,1,commercial,https://www.jensen-lewis.com/,1
american leather couch,3,3,2400,233.5,10,1.9300000667572021,1,transactional,https://www.jensen-lewis.com/collections/american-leather/sofas-sectionals,1
contemporary media cabinets,1,2,720,218.9,0,3.0999999046325684,0.9599999785423279,navigational,https://www.jensen-lewis.com/collections/entertainment-furniture/tv-cabinets-stands,1
modern side table for living room,2,3,1300,210.6,0,2.069999933242798,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
contemporary bedroom dresser,7,9,8100,207.4,0,2.4000000953674316,1,transactional,https://www.jensen-lewis.com/collections/bedroom-furniture/dressers,1
contemporary dresser for bedroom,7,9,8100,207.4,0,2.4000000953674316,1,transactional,https://www.jensen-lewis.com/collections/bedroom-furniture/dressers,1
furniture design stores nyc,8,9,9900,195.0,25,3.5199999809265137,1,navigational,https://www.jensen-lewis.com/,1
modern bar chair,8,10,9900,195.0,0,3.240000009536743,1,transactional,https://www.jensen-lewis.com/collections/elite-modern/bar-stools,1
contemporary sleeper sofa,4,7,2900,191.1,0,4.760000228881836,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/sleeper-sofa-beds,1
american leather recliners,3,6,1900,184.9,2,1.440000057220459,1,transactional,https://www.jensen-lewis.com/collections/american-leather/recliners,1
lawson couch,1,3,590,179.4,0,1.2100000381469727,1,transactional,https://www.jensen-lewis.com/products/lawson-sofa,1
lawson couches,1,4,590,179.4,0,1.2100000381469727,1,navigational,https://www.jensen-lewis.com/products/lawson-sofa,1
leather recliner chairs contemporary,1,2,590,179.4,0,1.6299999952316284,1,commercial,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
jensen lewis,4,5,2400,158.2,0,4.449999809265137,0.6299999952316284,informational,https://www.jensen-lewis.com/pages/contact-us,1
furniture stores ny,9,13,9900,148.5,0,3.5199999809265137,1,commercial,https://www.jensen-lewis.com/,1
nyc furniture showrooms,9,12,9900,148.5,8,3.5199999809265137,1,navigational,https://www.jensen-lewis.com/,1
american leather gaines comfort sleeper,2,2,880,142.6,0,4.03000020980835,1,transactional,https://www.jensen-lewis.com/products/gaines-comfort-sleeper,1
contemporary recliners,2,3,880,142.6,0,2.309999942779541,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
modern accent tables,2,3,880,142.6,0,1.6700000762939453,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
side table living room modern,2,2,880,142.6,0,1.340000033378601,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
contemporary furniture near me,5,8,2900,136.0,8,4.360000133514404,1,transactional,https://www.jensen-lewis.com/,1
american leather comfort sleeper,8,12,6600,130.0,0,3.119999885559082,1,transactional,https://www.jensen-lewis.com/products/gaines-comfort-sleeper,1
contemporary side tables living room,3,4,1300,126.5,0,2.069999933242798,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
living room modern side table,3,6,1300,126.5,0,2.069999933242798,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
modern dining furniture,3,4,1300,126.5,0,2.490000009536743,1,transactional,https://www.jensen-lewis.com/collections/dining-room-furniture/dining-tables,1
leather contemporary recliners,4,9,1900,125.2,0,2.450000047683716,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
american made leather couch,1,2,390,118.6,2,3.9600000381469727,1,transactional,https://www.jensen-lewis.com/collections/american-leather,1
leather couch made in usa,1,2,390,118.6,0,3.9600000381469727,1,transactional,https://www.jensen-lewis.com/collections/american-leather,1
leather furniture made in usa,1,2,390,118.6,0,3.9600000381469727,1,commercial,https://www.jensen-lewis.com/collections/american-leather,1
leather sofa made in usa,1,2,390,118.6,0,3.9600000381469727,1,transactional,https://www.jensen-lewis.com/collections/american-leather,1
made in usa leather furniture,1,1,390,118.6,1,3.9600000381469727,1,commercial,https://www.jensen-lewis.com/collections/american-leather,1
made in usa leather sofa,1,2,390,118.6,1,3.9600000381469727,1,transactional,https://www.jensen-lewis.com/collections/american-leather,1
contemporary swivel recliner,2,6,720,116.6,0,1.7899999618530273,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
eva chair,2,5,720,116.6,0,2.4200000762939453,0.7200000286102295,transactional,https://www.jensen-lewis.com/products/eva-dining-chair,1
contemporary kitchen tables,5,8,2400,112.6,0,1.8299999237060547,1,transactional,https://www.jensen-lewis.com/collections/dining-room-furniture/dining-tables,1
stressless sofa,5,10,2400,112.6,4,1.4300000667572021,1,transactional,https://www.jensen-lewis.com/collections/stressless/sofas-sectionals,1
living room side tables,8,11,5400,106.4,9,1.4500000476837158,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
modern end table,9,14,6600,99,0,1.8199999332427979,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
ny office furniture,1,4,320,97.3,17,34.029998779296875,0.9900000095367432,navigational,https://www.jensen-lewis.com/collections/home-office-furniture,1
office furniture in ny,1,4,320,97.3,6,34.029998779296875,0.9900000095367432,commercial,https://www.jensen-lewis.com/collections/home-office-furniture,1
office furniture new york city,1,4,320,97.3,26,34.029998779296875,0.9900000095367432,commercial,https://www.jensen-lewis.com/collections/home-office-furniture,1
office furniture showroom,1,4,320,97.3,0,6.889999866485596,0.30000001192092896,navigational,https://www.jensen-lewis.com/collections/home-office-furniture,1
office furniture showrooms,1,4,320,97.3,0,6.889999866485596,0.30000001192092896,navigational,https://www.jensen-lewis.com/collections/home-office-furniture,1
contemporary leather recliner chair,2,3,590,95.6,0,1.6299999952316284,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
lawson sofa,2,5,590,95.6,0,1.2100000381469727,1,transactional,https://www.jensen-lewis.com/products/lawson-sofa,1
modern corner table,2,3,590,95.6,0,1.190000057220459,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/end-tables,1
modern recliner chair leather,2,7,590,95.6,0,1.6299999952316284,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
modern recliner armchair,8,11,4400,86.7,0,2.009999990463257,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
contemporary furniture dining room,4,5,1300,85.7,0,1.7999999523162842,1,informational,https://www.jensen-lewis.com/collections/dining-room-furniture/dining-tables,1
adjustable counter stools,3,6,880,85.6,0,3.559999942779541,1,transactional,https://www.jensen-lewis.com/collections/dining-room-furniture/bar-stools,1
stressless office chair,3,3,880,85.6,6,2.430000066757202,1,transactional,https://www.jensen-lewis.com/collections/stressless/office-chairs,1
american leather comfort sleeper sofa,6,11,2400,81.1,0,3.380000114440918,0.6100000143051147,transactional,https://www.jensen-lewis.com/products/gaines-comfort-sleeper,1
lift couch,1,2,260,79.0,0,1.159999966621399,0.9900000095367432,transactional,https://www.jensen-lewis.com/products/lift-sofa,1
lift sofa,1,2,260,79.0,0,1.159999966621399,0.9900000095367432,transactional,https://www.jensen-lewis.com/products/lift-sofa,1
lifted couch,1,4,260,79.0,0,1.159999966621399,0.9900000095367432,transactional,https://www.jensen-lewis.com/products/lift-sofa,1
contemporary wooden table,2,4,480,77.8,0,2.059999942779541,1,transactional,https://www.jensen-lewis.com/collections/dining-room-furniture/dining-tables,1
contemporary swivel recliners,3,7,720,70.1,0,1.7899999618530273,1,transactional,https://www.jensen-lewis.com/collections/living-room-furniture/recliners,1
media cabinets modern,3,4,720,70.1,0,3.0999999046325684,0.9599999785423279,transactional,https://www.jensen-lewis.com/collections/entertainment-furniture/tv-cabinets-stands,1
curved sleeper sofa,1,3,210,63.8,0,3.819999933242798,1,transactional,https://www.jensen-lewis.com/products/innovation-neah-curved-arm-sleeper-sofa,1
elite dining chair,1,1,210,63.8,0,0.949999988079071,1,transactional,https://www.jensen-lewis.com/collections/elite-modern/dining-chairs,1
